id,web_name,first_name,second_name,squad_number,element_type,team,status,news,news_added,cost,cost_change_start,cost_change_start_fall,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
499,Kovacic,Mateo,Kovacic,17,3,6,a,,2018-12-16T13:31:16Z,5.7,-3,3,0,0.7,64,2,1725,0,2,9,19,0,0,0,3,0,0,2,343,315.4,468.8,311,109.9
579,Higuain,Gonzalo,Higuaín,9,4,6,a,,2019-03-13T18:01:18Z,9,-5,5,1,1.5,53,3.8,1084,5,0,5,15,0,0,0,0,0,0,6,178,240.4,241.7,644,112
624,Guehi,Addji Keaninkin Marc-Israel,Guehi,,2,6,a,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Hennessey,Wayne,Hennessey,13,1,7,a,,2019-01-16T10:01:19Z,4.4,-1,1,1,2.4,67,3.7,1575,0,0,5,26,0,1,0,0,0,44,6,311,358.8,0,0,35.9
136,Speroni,Julian,Speroni,1,1,7,a,,2019-02-08T15:01:21Z,3.9,-1,1,0,10.1,1,1,90,0,0,0,4,0,0,0,0,0,5,0,16,31.4,0,0,3.1
137,Guaita,Vicente,Guaita,31,1,7,a,,2019-01-12T17:31:18Z,4.3,-2,2,2,2.4,81,4,1754,0,0,7,23,0,0,0,2,0,64,8,378,448,0,0,44.8
138,Tomkins,James,Tomkins,5,2,7,i,Groin Injury - Unknown return date,2019-04-06T16:31:22Z,4.3,-2,2,0,2.3,86,3,2561,1,1,10,37,0,0,0,6,0,0,0,504,560.8,83,276,92.3
139,Dann,Scott,Dann,6,2,7,a,,2019-05-10T13:01:20Z,4.4,-1,1,0,0.1,23,2.3,661,0,1,2,10,0,0,0,1,0,0,0,129,186.2,22.5,71,28.1
140,Kelly,Martin,Kelly,34,2,7,a,,2019-02-22T13:31:20Z,3.9,-1,1,0,5,26,2,1110,0,0,3,21,1,0,0,2,0,0,1,166,269.8,17.1,34,32.2
141,Schlupp,Jeffrey,Schlupp,15,2,7,i,Ankle injury - Unknown return date,2019-04-14T15:31:23Z,4.3,-2,2,2,2.5,91,3,1660,4,3,4,26,0,0,0,1,0,0,3,301,385.2,240.5,430,105.7
142,van Aanholt,Patrick,van Aanholt,3,2,7,a,,2018-12-08T17:31:17Z,5.5,0,0,3,5.7,140,3.9,3196,3,2,12,46,0,0,0,3,0,0,17,626,616,520.4,448,158.7
143,Sakho,Mamadou,Sakho,12,2,7,i,Knee injury - Unknown return date,2019-02-23T20:01:19Z,4.9,-1,1,0,1.2,88,3.3,2416,0,0,9,35,0,0,0,2,0,0,13,533,540.6,78.2,47,66.6
144,Riedewald,Jairo,Riedewald,44,2,7,a,,2018-09-25T23:31:12Z,4.3,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Wan-Bissaka,Aaron,Wan-Bissaka,29,2,7,a,,2019-03-23T19:01:21Z,4.6,6,-6,2,26.3,120,3.4,3134,0,3,12,47,0,0,0,4,1,0,18,672,863.4,266.8,139,127.1
147,McArthur,James,McArthur,18,3,7,a,,,4.9,-1,1,1,3.4,121,3.2,3057,3,7,11,49,0,0,0,7,0,0,7,500,666.8,457.2,487,161.3
148,Sako,Bakary,Sako,26,3,7,a,,2019-03-14T13:31:19Z,4.9,-1,1,0,0,4,1,26,0,0,0,2,0,0,0,0,0,0,0,10,3,0.5,0,0.3
149,Townsend,Andros,Townsend,10,3,7,a,,,5.6,-4,4,2,3.5,135,3.6,3007,6,5,11,46,0,0,0,1,0,0,8,520,743,928.5,622,229.6
150,Milivojevic,Luka,Milivojevic,4,3,7,a,,,6.5,0,0,4,10.6,166,4.4,3420,12,2,12,53,0,0,1,10,0,0,24,741,1078.2,910.1,473,246.3
151,Zaha,Wilfried,Zaha,11,4,7,a,,2019-03-16T15:31:20Z,7,0,0,1,15.6,143,4.2,3037,10,11,11,49,0,0,0,8,1,0,13,459,752.8,753.3,1200,270.6
152,Benteke,Christian,Benteke,17,4,7,a,,2019-05-02T13:31:22Z,6.3,-2,2,0,0.5,33,2.1,807,1,1,3,13,0,0,0,1,0,0,3,65,106,118.4,348,56.1
153,Sorloth,Alexander,Sorloth,9,4,7,u,Season-long loan to KAA Gent,2019-01-08T23:01:17Z,4.8,-2,2,0,0.1,12,1,173,0,0,0,3,0,0,0,0,0,0,0,32,19.2,38.3,59,11.3
412,Kouyate,Cheikhou,Kouyate,8,3,7,a,,2019-01-30T23:01:18Z,4.7,-3,3,0,0.2,67,2.2,1889,0,3,9,30,0,0,0,3,0,0,0,251,337.4,198.5,222,75.6
441,Ward,Joel,Ward,2,2,7,a,,2018-11-10T16:31:13Z,4.3,-2,2,0,0.2,13,1.9,551,1,0,0,14,0,0,0,1,0,0,0,68,131.8,28.9,43,20.5
442,Jach,Jaroslaw,Jach,33,2,7,u,Season-long loan to Caykur Rizespor,2018-07-25T08:16:36Z,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,Souare,Pape,Souare,27,2,7,a,,2019-04-26T15:31:23Z,4.2,-3,3,0,0.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0.1,0,0.1
444,Wickham,Connor,Wickham,21,4,7,a,,2018-11-02T14:31:13Z,4.9,-1,1,0,0.1,9,1.5,61,0,1,0,1,0,0,0,0,0,0,0,23,23.2,41.9,55,12
477,Kaikai,Sullay,Kaikai,25,3,7,u,Transferred to NAC Breda,2019-01-23T10:34:27Z,4.3,-2,2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,Meyer,Max,Meyer,7,3,7,a,,2019-04-07T00:31:20Z,5.5,-5,5,0,0.2,60,2.1,1405,1,3,6,24,0,0,0,3,0,0,0,223,236,309.9,433,98
505,Ayew,Jordan,Ayew,14,4,7,a,,,5.7,-3,3,0,0.2,46,2.3,1176,1,3,5,13,0,0,0,3,0,0,2,114,140.2,207.3,421,76.7
576,Tupper,Joe,Tupper,41,1,7,a,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,Perri,Lucas,Perri,22,1,7,a,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
